playerId,순위,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
69737,1,노시환,한화,3루수,143,143,1262 1/3,17,0,99,218,17,0.949,0,0,0,-
78288,2,최재훈,한화,포수,121,107,813,5,1,856,68,8,0.995,8,58,18,23.7
79192,3,채은성,한화,1루수,113,112,929 2/3,6,0,816,31,59,0.993,0,0,0,-
54795,4,황영묵,한화,2루수,107,61,627 2/3,6,0,118,187,35,0.981,0,0,0,-
53764,5,문현빈,한화,좌익수,105,104,876 1/3,3,0,137,8,0,0.980,0,0,0,-
76812,6,이재원,한화,포수,98,35,409 2/3,6,0,406,33,4,0.987,2,35,8,18.6
66657,7,이진영,한화,우익수,94,81,642 1/3,2,0,127,3,0,0.985,0,0,0,-
64006,8,심우준,한화,유격수,91,81,685,7,0,140,201,40,0.980,0,0,0,-
67703,9,박상원,한화,투수,74,0,66 2/3,1,0,7,9,1,0.941,0,0,0,-
65769,10,김범수,한화,투수,73,0,48,1,0,4,6,2,0.909,0,0,0,-
61666,11,한승혁,한화,투수,71,0,64,0,2,1,10,1,1.000,0,0,0,-
53754,12,김서현,한화,투수,69,0,66,0,0,0,9,0,1.000,0,0,0,-
54768,13,조동욱,한화,투수,68,2,60,0,0,0,10,2,1.000,0,0,0,-
65703,14,이도윤,한화,2루수,64,45,380 2/3,2,0,73,120,21,0.990,0,0,0,-
63765,15,김종수,한화,투수,63,0,63 2/3,0,0,4,5,1,1.000,0,0,0,-
55734,15,플로리얼,한화,중견수,63,62,537 1/3,5,0,133,4,0,0.965,0,0,0,-
68700,17,이원석,한화,우익수,61,24,279 1/3,0,0,50,4,1,1.000,0,0,0,-
62700,17,하주석,한화,유격수,61,48,407 2/3,1,0,59,103,21,0.994,0,0,0,-
55703,19,리베라토,한화,중견수,58,58,479,3,0,125,7,1,0.978,0,0,0,-
66704,20,김태연,한화,1루수,56,26,294,3,0,249,27,21,0.989,0,0,0,-
55743,21,정우주,한화,투수,51,2,53 2/3,0,0,0,1,0,1.000,0,0,0,-
65707,22,주현상,한화,투수,48,0,41 2/3,1,0,2,6,0,0.889,0,0,0,-
77532,23,손아섭,한화,우익수,46,42,314,0,0,68,0,0,1.000,0,0,0,-
65703,24,이도윤,한화,유격수,43,15,195 2/3,2,0,29,56,7,0.977,0,0,0,-
68700,25,이원석,한화,중견수,36,20,216,0,0,55,0,0,1.000,0,0,0,-
66704,26,김태연,한화,우익수,35,23,198 2/3,1,0,49,5,2,0.982,0,0,0,-
66704,27,김태연,한화,좌익수,30,23,178 1/3,1,0,30,1,0,0.969,0,0,0,-
54755,27,와이스,한화,투수,30,30,178 2/3,1,0,3,20,0,0.958,0,0,0,-
55730,29,폰세,한화,투수,29,29,180 2/3,0,0,4,19,1,1.000,0,0,0,-
65056,30,엄상백,한화,투수,28,16,80 2/3,1,1,3,7,0,0.909,0,0,0,-
62700,30,하주석,한화,2루수,28,27,197,1,0,33,51,10,0.988,0,0,0,-
76715,32,류현진,한화,투수,26,26,139 1/3,3,0,1,18,1,0.864,0,0,0,-
52701,33,문동주,한화,투수,24,23,121,1,0,5,11,0,0.941,0,0,0,-
54729,34,황준서,한화,투수,23,12,56,0,0,1,8,1,1.000,0,0,0,-
68700,35,이원석,한화,좌익수,20,2,61 1/3,1,0,17,0,0,0.944,0,0,0,-
50707,35,최인호,한화,좌익수,20,9,95 1/3,0,0,13,0,0,1.000,0,0,0,-
52764,37,허인서,한화,포수,19,2,65,1,0,78,8,1,0.989,1,3,5,62.5
60768,38,이태양,한화,투수,14,0,11 1/3,0,0,0,3,0,1.000,0,0,0,-
50704,39,임종찬,한화,우익수,13,10,86 1/3,1,0,16,0,0,0.941,0,0,0,-
77532,40,손아섭,한화,좌익수,12,8,47,0,0,15,1,1,1.000,0,0,0,-
79608,40,안치홍,한화,2루수,12,11,81,1,0,15,28,5,0.977,0,0,0,-
69213,40,윤산흠,한화,투수,12,1,16 2/3,0,0,0,2,0,1.000,0,0,0,-
52704,43,이상혁,한화,중견수,9,0,14,0,0,4,0,0,1.000,0,0,0,-
52704,43,이상혁,한화,우익수,9,0,19 2/3,0,0,2,0,0,1.000,0,0,0,-
65703,45,이도윤,한화,3루수,7,1,24,0,0,2,0,0,1.000,0,0,0,-
66657,45,이진영,한화,좌익수,7,5,52,0,0,14,1,0,1.000,0,0,0,-
50707,45,최인호,한화,우익수,7,0,16,0,0,3,1,0,1.000,0,0,0,-
52769,48,권광민,한화,1루수,6,1,20 1/3,0,0,17,1,1,1.000,0,0,0,-
66715,48,김인환,한화,1루수,6,4,34 1/3,2,0,30,6,5,0.947,0,0,0,-
52704,48,이상혁,한화,좌익수,6,0,12,0,0,5,0,0,1.000,0,0,0,-
55764,51,권민규,한화,투수,5,0,5 1/3,0,0,0,1,0,1.000,0,0,0,-
51715,51,김기중,한화,투수,5,2,14 2/3,0,0,0,1,0,1.000,0,0,0,-
50711,51,김승일,한화,투수,5,0,2 2/3,0,0,0,0,0,-,0,0,0,-
65117,51,이상규,한화,투수,5,0,9,0,0,1,2,0,1.000,0,0,0,-
50705,55,강재민,한화,투수,4,0,4,0,0,0,1,0,1.000,0,0,0,-
53764,55,문현빈,한화,중견수,4,1,14,0,0,3,1,0,1.000,0,0,0,-
69766,55,유로결,한화,중견수,4,0,13,0,0,2,1,0,1.000,0,0,0,-
65703,55,이도윤,한화,1루수,4,0,5,0,0,7,0,0,1.000,0,0,0,-
66657,59,이진영,한화,중견수,3,2,15,0,0,3,0,0,1.000,0,0,0,-
54702,60,원종혁,한화,투수,2,0,1 2/3,0,0,0,0,0,-,0,0,0,-
69766,60,유로결,한화,우익수,2,1,13,0,0,3,0,0,1.000,0,0,0,-
55712,60,이승현,한화,2루수,2,0,3,0,0,0,0,0,-,0,0,0,-
55712,60,이승현,한화,유격수,2,0,2,0,0,2,0,0,1.000,0,0,0,-
50707,60,최인호,한화,중견수,2,0,2,0,0,0,0,0,-,0,0,0,-
55734,60,플로리얼,한화,좌익수,2,1,11,0,0,3,1,0,1.000,0,0,0,-
52769,66,권광민,한화,우익수,1,1,3,0,0,0,0,0,-,0,0,0,-
52769,66,권광민,한화,좌익수,1,0,1,0,0,0,0,0,-,0,0,0,-
53764,66,문현빈,한화,2루수,1,0,1,0,0,0,1,1,1.000,0,0,0,-
53764,66,문현빈,한화,3루수,1,0,1,0,0,0,0,0,-,0,0,0,-
50709,66,박정현,한화,3루수,1,0,1,0,0,0,0,0,-,0,0,0,-
52731,66,박준영,한화,투수,1,1,5,0,0,0,0,0,-,0,0,0,-
79608,66,안치홍,한화,1루수,1,1,6,0,0,4,0,0,1.000,0,0,0,-
69766,66,유로결,한화,좌익수,1,0,3,0,0,0,0,0,-,0,0,0,-
55710,66,이민재,한화,우익수,1,1,5,0,0,1,0,0,1.000,0,0,0,-
51762,66,장규현,한화,포수,1,0,2 2/3,0,0,3,0,0,1.000,0,0,0,-
62700,66,하주석,한화,3루수,1,0,2,0,0,0,0,0,-,0,0,0,-
62700,66,하주석,한화,1루수,1,0,1,0,0,1,0,1,1.000,0,0,0,-
